Tariff Item,Harmonized System (HS) Heading,Indicative Description,code    subgroup,,stage
0101.21.00,"Live horses, asses, mules and hinnies.",Horses: Pure-bred breeding animals,010121,00,2
0101.29.00,"Live horses, asses, mules and hinnies.",Horses: Other,010129,00,2
0101.30.00,"Live horses, asses, mules and hinnies.",Asses,010130,00,2
0101.90.00,"Live horses, asses, mules and hinnies.",Other,010190,00,2
0102.21.00,Live bovine animals.,Cattle: Pure-bred breeding animals,010221,00,2
0102.29.00,Live bovine animals.,Cattle: Other,010229,00,2
0102.31.00,Live bovine animals.,Buffalo: Pure-bred breeding animals,010231,00,2
0102.39.00,Live bovine animals.,Buffalo: Other,010239,00,2
0102.90.00,Live bovine animals.,Other,010290,00,2
0103.10.00,Live swine.,Pure-bred breeding animals,010310,00,2
0103.91.00,Live swine.,Other: Weighing less than 50 kg,010391,00,2
0103.92.00,Live swine.,Other: Weighing 50 kg or more,010392,00,2
0104.10.00,Live sheep and goats.,Sheep,010410,00,2
0104.20.00,Live sheep and goats.,Goats,010420,00,2
0105.11.10,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.",Weighing not more than 185 g: Fowls of the species Gallus domesticus: For breeding purposes,010511,10,2
0105.11.21,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.",Weighing not more than 185 g: Fowls of the species Gallus domesticus: Broilers for domestic production: Within access commitment,010511,21,2
0105.11.90,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.",Weighing not more than 185 g: Fowls of the species Gallus domesticus: Other,010511,90,2
0105.12.10,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.",Weighing not more than 185 g: Turkeys: For breeding purposes,010512,10,2
0105.12.90,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.",Weighing not more than 185 g: Turkeys: Other,010512,90,2
0105.13.10,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.",Weighing not more than 185 g: Ducks: For breeding purposes,010513,10,2
0105.13.90,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.",Weighing not more than 185 g: Ducks: Other,010513,90,2
0105.14.10,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.",Weighing not more than 185 g: Geese: For breeding purposes,010514,10,2
0105.14.90,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.",Weighing not more than 185 g: Geese: Other,010514,90,2
