code,hhi,value,tariffed,phase2
010121,1752.7842851354,5758785,1,1
010129,994.810593304338,44451460,1,1
010130,5572.78565003532,88313,1,1
010190,1631.39571133665,3768505,1,1
010221,980.62970401084,10218899,1,1
010229,2025.57685296187,379706290,1,1
010290,7209.38828164951,1374085,1,1
010310,4895.58930212361,832693,1,1
010391,8858.44996528952,626817,1,1
010410,8716.93696848627,147949,1,1
010511,3368.01680747325,72156941,0,0
010512,2191.86876103494,5802621,0,0
010513,3241.97506346595,171320,0,0
010514,10000,6135,0,0
010515,8698.34758208906,310669,0,0
010594,8795.77945152624,1106561,0,0
010611,4270.30179952732,6100803,1,1
010613,5098.16943920255,126141,1,1
010614,10000,500326,1,1
010619,2654.23174984107,29163676,1,1
010620,2508.19710564336,331328,1,1
010639,6674.61596197719,1445383,1,1
010641,3700.60623650983,12068128,1,1
010649,3444.15067219549,9948208,1,1
010690,2632.42808894702,2478218,1,1
020120,2112.25560198071,112098321,0,0
020130,2023.45031715457,522946695,0,0
020220,2041.02759183542,935140,0,0
020230,1076.59274602317,36006677,0,0
020312,2245.91450859072,20531994,1,1
020319,1997.13729900921,379628562,1,1
020321,10000,33529,1,1
020322,2373.79670063034,273987,1,1
020329,1367.41832957903,30171516,1,1
020442,10000,419059,0,0
020443,10000,110193,0,0
020610,2944.00244734125,842112,1,1
020621,4617.19474342976,473871,1,1
020622,1170.20077533827,6697016,1,1
020629,1893.01574110751,10838930,1,1
020630,1659.54028498073,8714426,1,1
020641,10000,106468,1,1
020649,1267.61090137726,16981934,1,1
020690,10000,6453,1,1
020711,6195.60309104698,3431823,0,0
020712,3607.35213726755,851468,0,0
020713,1283.41116804035,343485382,0,0
020714,1343.88921085525,43138699,0,0
020726,3384.6685965788,1552065,0,0
020727,5012.25833363904,6063060,0,0
020742,10000,2831426,1,1
020745,9029.01234630537,2056143,0,0
020850,10000,57639,1,1
020890,10000,298795,1,1
020910,6936.65820480563,48480,1,1
021011,2820.13017083274,59489825,1,1
021012,1756.22676683044,17303752,1,1
021019,5761.16863439172,50609762,1,1
021020,5846.6906419298,1270107,1,1
021099,9153.65242320469,446227,0,0
030111,5563.93756389314,812252,1,1
030119,6048.91823166899,473063,1,1
030191,10000,622061,1,1
030192,4680.4528420098,7769868,1,1
030193,10000,89045,1,1
030199,1942.52141668488,17329575,1,1
030211,4250.20325663398,5934588,1,1
030213,5087.00179526201,29312692,1,1
030214,7250.84898259055,92185084,1,1
030219,4889.21925726018,2449137,1,1
030221,4951.06328689676,27399099,1,1
030223,8047.33981771309,95627,1,1
030229,4205.49549681488,28595,1,1
030231,2599.85965058497,25914,1,1
030232,3219.92540915573,1129572,1,1
030234,4474.10683377091,73881,1,1
030235,8193.22450426073,4770986,1,1
030236,10000,4122,1,1
030239,10000,5282,1,1
030241,3981.68144387208,743129,1,1
030242,4398.56251218019,43134,1,1
030243,4250.56789201504,42537,1,1
030244,5853.22798429985,1965001,1,1
030245,5717.01862974139,88159,1,1
030246,10000,5104,1,1
030247,3498.42555068781,137438,1,1
030249,7785.45408287018,1842839,1,1
030251,2186.52244969574,3500409,1,1
030252,10000,4218,1,1
030253,9369.21896971685,232345,1,1
030254,3676.4907115115,486691,1,1
030256,5389.84420973768,11829,1,1
030271,6305.61528077847,5689167,1,1
030272,10000,82051,1,1
030273,5201.37448319601,400789,1,1
030281,7736.32232385887,321597,1,1
030282,4725.4800161219,280493,1,1
030283,9140.86618439883,61383,1,1
030284,2711.16793440609,355682,1,1
030285,3314.52623357554,502912,1,1
030289,3916.82961115977,14181394,1,1
030291,5225.31220454532,1212696,1,1
030299,7879.59766595518,34491,1,1
030311,6256.83088733478,85092240,1,1
030312,5024.98209902614,8689669,1,1
030313,3906.6128575082,483943,1,1
030314,6262.16932130709,1024032,1,1
030319,7670.58423705369,101959,1,1
030323,4224.51024576787,39060,1,1
030324,10000,22220,1,1
030325,10000,59120,1,1
030326,6634.53917662406,12988,1,1
030329,10000,26928,1,1
030331,5492.07250035661,4713478,1,1
030333,3132.33309237373,508359,1,1
030339,2846.71337929942,126548,1,1
030341,4498.81992406456,7688671,1,1
030342,6237.46827318885,173481,1,1
030344,10000,22829,1,1
030345,7251.48176704805,509406,1,1
030346,3425.2462959346,9367,1,1
030351,4729.84563538028,1894761,1,1
030353,5533.30370627475,56246,1,1
030354,2672.59233496906,145334,1,1
030357,10000,23552,1,1
030359,4153.73296685112,282599,1,1
030363,5799.34405307422,7253426,1,1
030364,5079.10193532313,88401,1,1
030365,10000,8061,1,1
030366,7032.00331803844,119822,1,1
030367,8672.59260948467,741539,1,1
030368,6626.09211843052,353625,1,1
030369,7336.70123897232,44782,1,1
030382,10000,23356,1,1
030383,4101.38774989197,4090012,1,1
030384,5468.36673748161,359962,1,1
030389,3250.4455153795,7364687,1,1
030391,4266.57325542866,3709933,1,1
030399,4642.426203861,119057,1,1
030431,4806.93243489202,17333702,1,1
030432,3607.83399624823,523206,1,1
030441,4466.60148643642,133445921,1,1
030442,4175.63057767252,15530652,1,1
030443,3583.46635212087,669642,1,1
030444,8233.50428933745,4348205,1,1
030445,4867.53241272054,64761,1,1
030449,4774.69511946079,1968008,1,1
030452,5841.69372628349,1501358,1,1
030453,9312.62659828936,393667,1,1
030455,10000,85011,1,1
030459,7345.79462179923,608720,1,1
030461,7145.3574575285,5993648,1,1
030462,3546.33462420897,74509,1,1
030471,4569.08370734507,6793506,1,1
030472,8143.47897164279,1426566,1,1
030473,10000,11242,1,1
030475,3856.48295172581,9869174,1,1
030479,4981.79563747979,468595,1,1
030481,3449.79593983048,36226172,1,1
030482,5599.47760013083,860512,1,1
030483,2622.15205387669,2529801,1,1
030484,5007.10288070233,21650,1,1
030485,3311.88301319279,562526,1,1
030486,4148.75884559763,28087,1,1
030487,1855.64483073839,1017016,1,1
030489,2778.78525959994,9804363,1,1
030491,10000,33233,1,1
030492,5328.54318958047,105650,1,1
030494,9470.51657960323,5607008,1,1
030495,4580.14651580869,1613991,1,1
030497,4608.68391717284,45279,1,1
030499,6953.26552919568,28850840,1,1
030520,7115.40165111694,1551714,1,1
030532,10000,327115,1,1
