type,hts,year,desc,cntry,quantity_desc,fas,a
FAS Value,220810,1989,COMPOUND ALCOHOLIC PREPARATIONS OF A KIND USED FOR THE MANUFACTURE OF BEVERAGES,Angola,Value for: kilograms,44351.00,
FAS Value,220810,1992,COMPOUND ALCOHOLIC PREPARATIONS OF A KIND USED FOR THE MANUFACTURE OF BEVERAGES,Antigua and Barbuda,Value for: kilograms,12552.00,
FAS Value,220810,1994,COMPOUND ALCOHOLIC PREPARATIONS OF A KIND USED FOR THE MANUFACTURE OF BEVERAGES,Antigua and Barbuda,Value for: kilograms,23138.00,
FAS Value,220810,1989,COMPOUND ALCOHOLIC PREPARATIONS OF A KIND USED FOR THE MANUFACTURE OF BEVERAGES,Argentina,Value for: kilograms,4332.00,
FAS Value,220810,1993,COMPOUND ALCOHOLIC PREPARATIONS OF A KIND USED FOR THE MANUFACTURE OF BEVERAGES,Argentina,Value for: kilograms,68380.00,
FAS Value,220810,1994,COMPOUND ALCOHOLIC PREPARATIONS OF A KIND USED FOR THE MANUFACTURE OF BEVERAGES,Argentina,Value for: kilograms,35348.00,
FAS Value,220810,1995,COMPOUND ALCOHOLIC PREPARATIONS OF A KIND USED FOR THE MANUFACTURE OF BEVERAGES,Argentina,Value for: kilograms,67619.00,
FAS Value,220810,1989,COMPOUND ALCOHOLIC PREPARATIONS OF A KIND USED FOR THE MANUFACTURE OF BEVERAGES,Aruba,Value for: kilograms,65984.00,
FAS Value,220810,1994,COMPOUND ALCOHOLIC PREPARATIONS OF A KIND USED FOR THE MANUFACTURE OF BEVERAGES,Aruba,Value for: kilograms,85438.00,
FAS Value,220810,1995,COMPOUND ALCOHOLIC PREPARATIONS OF A KIND USED FOR THE MANUFACTURE OF BEVERAGES,Aruba,Value for: kilograms,4700.00,
FAS Value,220810,1989,COMPOUND ALCOHOLIC PREPARATIONS OF A KIND USED FOR THE MANUFACTURE OF BEVERAGES,Australia,Value for: kilograms,212265.00,
FAS Value,220810,1991,COMPOUND ALCOHOLIC PREPARATIONS OF A KIND USED FOR THE MANUFACTURE OF BEVERAGES,Australia,Value for: kilograms,3900.00,
FAS Value,220810,1992,COMPOUND ALCOHOLIC PREPARATIONS OF A KIND USED FOR THE MANUFACTURE OF BEVERAGES,Australia,Value for: kilograms,16584.00,
FAS Value,220810,1993,COMPOUND ALCOHOLIC PREPARATIONS OF A KIND USED FOR THE MANUFACTURE OF BEVERAGES,Australia,Value for: kilograms,14704.00,
FAS Value,220810,1994,COMPOUND ALCOHOLIC PREPARATIONS OF A KIND USED FOR THE MANUFACTURE OF BEVERAGES,Australia,Value for: kilograms,26232.00,
FAS Value,220810,1995,COMPOUND ALCOHOLIC PREPARATIONS OF A KIND USED FOR THE MANUFACTURE OF BEVERAGES,Australia,Value for: kilograms,30974.00,
FAS Value,220810,1991,COMPOUND ALCOHOLIC PREPARATIONS OF A KIND USED FOR THE MANUFACTURE OF BEVERAGES,Austria,Value for: kilograms,4451.00,
FAS Value,220810,1992,COMPOUND ALCOHOLIC PREPARATIONS OF A KIND USED FOR THE MANUFACTURE OF BEVERAGES,Austria,Value for: kilograms,7083.00,
FAS Value,220810,1993,COMPOUND ALCOHOLIC PREPARATIONS OF A KIND USED FOR THE MANUFACTURE OF BEVERAGES,Austria,Value for: kilograms,9034.00,
FAS Value,220810,1989,COMPOUND ALCOHOLIC PREPARATIONS OF A KIND USED FOR THE MANUFACTURE OF BEVERAGES,Bahamas,Value for: kilograms,48526.00,
FAS Value,220810,1990,COMPOUND ALCOHOLIC PREPARATIONS OF A KIND USED FOR THE MANUFACTURE OF BEVERAGES,Bahamas,Value for: kilograms,43252.00,
FAS Value,220810,1991,COMPOUND ALCOHOLIC PREPARATIONS OF A KIND USED FOR THE MANUFACTURE OF BEVERAGES,Bahamas,Value for: kilograms,7200.00,
FAS Value,220810,1992,COMPOUND ALCOHOLIC PREPARATIONS OF A KIND USED FOR THE MANUFACTURE OF BEVERAGES,Bahamas,Value for: kilograms,164758.00,
FAS Value,220810,1993,COMPOUND ALCOHOLIC PREPARATIONS OF A KIND USED FOR THE MANUFACTURE OF BEVERAGES,Bahamas,Value for: kilograms,233308.00,
FAS Value,220810,1994,COMPOUND ALCOHOLIC PREPARATIONS OF A KIND USED FOR THE MANUFACTURE OF BEVERAGES,Bahamas,Value for: kilograms,296686.00,
FAS Value,220810,1995,COMPOUND ALCOHOLIC PREPARATIONS OF A KIND USED FOR THE MANUFACTURE OF BEVERAGES,Bahamas,Value for: kilograms,180916.00,
FAS Value,220810,1991,COMPOUND ALCOHOLIC PREPARATIONS OF A KIND USED FOR THE MANUFACTURE OF BEVERAGES,Bahrain,Value for: kilograms,3000.00,
FAS Value,220810,1989,COMPOUND ALCOHOLIC PREPARATIONS OF A KIND USED FOR THE MANUFACTURE OF BEVERAGES,Barbados,Value for: kilograms,12696.00,
FAS Value,220810,1993,COMPOUND ALCOHOLIC PREPARATIONS OF A KIND USED FOR THE MANUFACTURE OF BEVERAGES,Barbados,Value for: kilograms,12026.00,
FAS Value,220810,1994,COMPOUND ALCOHOLIC PREPARATIONS OF A KIND USED FOR THE MANUFACTURE OF BEVERAGES,Barbados,Value for: kilograms,32468.00,
FAS Value,220810,1995,COMPOUND ALCOHOLIC PREPARATIONS OF A KIND USED FOR THE MANUFACTURE OF BEVERAGES,Barbados,Value for: kilograms,12222.00,
FAS Value,220810,1992,COMPOUND ALCOHOLIC PREPARATIONS OF A KIND USED FOR THE MANUFACTURE OF BEVERAGES,Belgium,Value for: kilograms,22650.00,
FAS Value,220810,1994,COMPOUND ALCOHOLIC PREPARATIONS OF A KIND USED FOR THE MANUFACTURE OF BEVERAGES,Belgium,Value for: kilograms,24976.00,
